Date,Incidence
2018-07-30,12
2018-07-31,3
2018-08-02,1
2018-08-03,7
2018-08-07,3
2018-08-13,7
2018-08-20,2
2018-08-29,1
2018-09-11,6
2018-09-19,3
2018-09-26,2
2018-10-03,3
2018-10-10,2
2018-10-17,2
2018-10-22,1
2018-11-06,23
2018-11-13,9
2018-11-20,8
2018-11-28,7
2018-12-03,6
2018-12-17,7
2018-12-27,7
2019-01-10,0
2019-05-24,0
2019-05-28,0
2019-06-05,0
2019-06-10,1
2019-06-18,1
2019-06-27,0
2019-07-10,1
2019-07-16,2
2019-07-23,1
2019-07-29,3
2019-08-05,3
2019-08-22,6
2019-08-26,18
2019-09-02,2
2019-09-11,9
2019-09-19,24
2019-09-26,10
2019-10-02,1
2019-10-07,3
2019-10-18,27
2019-10-24,14
2019-10-31,2
2019-11-06,1
2019-11-15,8
2019-11-21,0
2019-11-25,2
2019-12-02,0
2019-12-09,1
2019-12-18,1
2019-12-23,0
2020-01-07,2
2020-01-14,0
2020-01-23,0
